Label,Brand,Name,Price,Rank,Ingredients,Combination,Dry,Normal,Oily,Sensitive
Sunscreen,La Roche-Posay,Deep Mineral Sunscreen,35,3.5,Caprylic/Capric Triglyceride Dicaprylyl Carbonate Squalane Rosa Canina Fruit Oil Oenothera Biennis Oil,0,1,0,1,1
Sunscreen,Elizabeth Arden,Advanced Solar Fluid,268,2.3,"Water, Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal",1,1,1,0,1
Night Cream,Clinique,Deep Night Recovery Balm,164,2.4,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil",0,0,0,0,1
Exfoliator,Dermalogica,Daily Enzyme Peel,109,0.9,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",1,0,1,1,1
Serum,La Roche-Posay,Radiance Hyaluronic Acid Serum,297,3.7,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",1,0,1,0,0
Treatment,NUXE,Deep Repairing Serum,53,0.3,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid.",0,1,0,1,0
Toner,Origins,Ultra Soothing Mist,297,2.2,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",1,1,1,0,1
Serum,NUXE,Pure Hyaluronic Acid Serum,47,3.0,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid.",1,1,1,1,0
Exfoliator,First Aid Beauty,Radiance Daily Microfoliant,81,0.1,"Water, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Dimethicone, Propanediol, Glycerin",1,1,1,0,1
Cleanser,Origins,Deep Micellar Water,97,0.0,Caprylic/Capric Triglyceride Dicaprylyl Carbonate Squalane Rosa Canina Fruit Oil Oenothera Biennis Oil,0,1,0,1,0
Face Mask,First Aid Beauty,Daily Peel-off Mask,199,0.2,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil",1,0,1,0,1
Treatment,Murad,Daily Salicylic Acid Solution,100,3.3,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,0,0,1,0,1
Moisturizer,Pai Skincare,Active Daily Moisturizer,182,3.0,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,0,0,0,1,0
Eye Cream,Estée Lauder,Radiance Dark Circle Corrector,68,1.5,"Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil",0,0,1,0,0
Serum,COSRX,Radiance Hyaluronic Acid Serum,150,4.5,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,0,0,0,1,1
Moisturizer,Lancôme,Radiance Hydrating Lotion,210,4.1,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,0,1,1,1,1
Treatment,NUXE,Active Blemish Treatment,237,3.5,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,1,1,1,1,1
Sunscreen,Bulldog,Advanced UV Defense Milk,211,0.0,"Water, Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal",0,1,0,1,1
Moisturizer,PIXI,Pro Daily Moisturizer,67,2.1,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid.",1,1,0,1,1
Treatment,L'Oréal,Mineral Salicylic Acid Solution,31,0.4,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,1,1,1,0,1
Cleanser,Dermalogica,Daily Gentle Wash,141,4.9,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid.",1,0,1,0,0
Night Cream,Murad,Radiance Deep Sleep Cream,69,1.8,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",1,1,1,0,0
Face Mask,Origins,Pro Hydrating Overnight Mask,108,2.0,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil",0,1,0,0,1
Toner,CeraVe,Mineral Exfoliating Toner,26,0.4,"Water , Sodium Lauroyl Methyl Isethionate , Glycerin , Cocamidopropyl Betaine , Cocamidopropyl Hydroxysultaine , Sodium Methyl Oleoyl Taurate",0,1,0,1,1
Serum,Medik8,Ultra Vitamin C Booster,200,2.6,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",0,0,1,0,0
Eye Cream,Avène,Mineral Dark Circle Corrector,261,0.8,"Water, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Dimethicone, Propanediol, Glycerin",0,1,1,1,0
Face Mask,The Ordinary,Pro Hydrating Overnight Mask,292,4.2,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",0,0,1,0,1
Face Mask,The Ordinary,Deep Clay Mask,193,1.1,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil",0,1,1,0,0
Eye Cream,Murad,Ultra Anti-Aging Eye Cream,209,1.9,"Water, Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal *.",1,1,1,0,1
Eye Cream,Clinique,Pro Revitalizing Eye Gel,238,0.2,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil",0,0,1,0,0
Treatment,Pai Skincare,Ultra Blemish Treatment,42,3.7,"Water,Lactic Acid,Propanediol,Jojoba Esters,Glycolic Acid,Potassium Hydroxide,Salix Alba (Willow) Bark Extract",1,1,1,1,0
Exfoliator,Bulldog,Deep Exfoliating Scrub,81,3.5,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil",1,1,1,0,0
Night Cream,L'Oréal,Mineral Restorative Night Cream,59,3.9,"Galactomyces Ferment Filtrate (Pitera) , Butylene Glycol , Pentylene Glycol , Water , Sodium Benzoate , Methylparaben , Sorbic Acid.",0,0,0,1,0
Cleanser,Clinique,Advanced Foaming Cleanser,247,1.6,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil *.",1,1,0,1,0
Sunscreen,Avène,Pure Solar Fluid,228,1.4,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate*",0,1,1,1,0
Treatment,Pai Skincare,Active Blemish Treatment,140,0.2,"Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil",1,0,0,0,0
Toner,Sukin,Intense Pore Refining Toner,284,3.9,"Water, Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal",1,0,1,0,1
Moisturizer,The INKEY List,Intense Daily Moisturizer,173,0.8,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,1,0,0,0,0
Sunscreen,Lancôme,Advanced Solar Fluid,36,1.4,"Water, Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal",1,0,1,0,0
Toner,La Roche-Posay,Radiance Hydrating Essence,166,4.2,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",1,0,0,0,1
Eye Cream,The Ordinary,Pro Dark Circle Corrector,160,3.1,"Water, Lactic Acid, Propanediol, Jojoba Esters, Glycolic Acid, Potassium Hydroxide, Salix Alba (Willow) Bark Extract",0,0,1,1,1
Sunscreen,Sukin,Ultra Sunscreen SPF 50,179,0.4,"Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil",1,0,0,1,1
Serum,Caudalie,Mineral Vitamin C Booster,11,5.0,"Water, Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal",1,0,1,0,1
Treatment,Dermalogica,Pro Repairing Serum,158,2.6,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",0,0,1,0,1
Serum,Medik8,Intense Hyaluronic Acid Serum,133,0.6,"Galactomyces Ferment Filtrate (Pitera),Butylene Glycol,Pentylene Glycol,Water,Sodium Benzoate,Methylparaben,Sorbic Acid.",1,0,0,1,0
Eye Cream,L'Oréal,Active Revitalizing Eye Gel,121,1.9,"Water, Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal",0,1,0,1,1
Treatment,AHAVA,Deep Repairing Serum,108,2.3,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",1,0,0,1,0
Face Mask,Lancôme,Mineral Hydrating Overnight Mask,244,2.6,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid.",0,1,0,1,0
Night Cream,VICHY,Active Deep Sleep Cream,213,0.8,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",0,1,1,0,0
Exfoliator,La Roche-Posay,Mineral Enzyme Peel,140,3.8,"Water, Lactic Acid, Propanediol, Jojoba Esters, Glycolic Acid, Potassium Hydroxide, Salix Alba (Willow) Bark Extract",1,1,1,1,1
Eye Cream,Estée Lauder,Intense Anti-Aging Eye Cream,178,0.5,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil",1,1,1,0,0
Eye Cream,CeraVe,Daily Anti-Aging Eye Cream,242,4.3,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid.",0,1,1,1,0
Cleanser,First Aid Beauty,Active Gentle Wash,258,1.3,Caprylic/Capric Triglyceride Dicaprylyl Carbonate Squalane Rosa Canina Fruit Oil Oenothera Biennis Oil,1,0,1,0,1
Sunscreen,NUXE,Radiance UV Defense Milk,228,0.9,"Water, Lactic Acid, Propanediol, Jojoba Esters, Glycolic Acid, Potassium Hydroxide, Salix Alba (Willow) Bark Extract",0,1,1,0,1
Cleanser,Caudalie,Advanced Foaming Cleanser,271,1.1,"Water,Glycerin,Caprylic/ Capric Triglyceride,Isopropyl Isostearate,Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal",1,0,0,1,0
Cleanser,Garnier,Deep Micellar Water,130,0.3,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",1,1,0,0,1
Serum,Caudalie,Radiance Hyaluronic Acid Serum,125,3.2,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid.",1,0,0,1,1
Serum,Natio,Pro Hyaluronic Acid Serum,275,4.7,"Water, Lactic Acid, Propanediol, Jojoba Esters, Glycolic Acid, Potassium Hydroxide, Salix Alba (Willow) Bark Extract",1,0,0,0,1
Cleanser,Dermalogica,Daily Foaming Cleanser,66,1.6,"Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil",0,1,1,1,1
Exfoliator,CeraVe,Pro Daily Microfoliant,27,1.0,"Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil *.",0,0,1,0,0
Face Mask,Medik8,Mineral Peel-off Mask,18,1.1,"Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil",0,0,0,0,0
Treatment,Clinique,Deep Retinol Complex,189,3.0,"Water, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Dimethicone, Propanediol, Glycerin",0,1,1,1,0
Toner,Pai Skincare,Daily Hydrating Essence,241,1.4,"Water, Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal",1,0,0,0,0
Moisturizer,Natio,Pure Daily Moisturizer,261,0.6,"Water, Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal",1,1,1,1,0
Face Mask,Lancôme,Radiance Sheet Mask,167,4.1,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",1,1,1,1,1
Night Cream,Elizabeth Arden,Pro Night Recovery Balm,98,1.1,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,1,1,0,1,1
Eye Cream,Bulldog,Active Revitalizing Eye Gel,89,1.7,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",0,0,0,1,0
Moisturizer,Avène,Ultra Hydrating Lotion,15,3.7,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,0,1,1,1,0
Face Mask,The INKEY List,Daily Hydrating Overnight Mask,63,2.9,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",1,0,1,0,0
Night Cream,COSRX,Radiance Night Recovery Balm,142,2.0,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil",0,1,0,0,0
Eye Cream,L'Oréal,Deep Revitalizing Eye Gel,141,1.1,"Water , Dicaprylyl Carbonate , Glycerin , Cetearyl Alcohol , Cetearyl Olivate , Sorbitan Olivate , Sclerocarya Birrea Seed Oil , Bacillus/Soybean/ Folic Acid Ferment Extract",0,1,1,1,1
Night Cream,Lancôme,Intense Night Recovery Balm,162,2.0,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,0,1,1,1,0
Cleanser,Natio,Pure Foaming Cleanser,55,2.1,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",1,0,0,0,0
Eye Cream,Murad,Active Dark Circle Corrector,240,3.4,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,1,1,0,0,1
Night Cream,Dermalogica,Deep Night Recovery Balm,216,3.8,"Water, Lactic Acid, Propanediol, Jojoba Esters, Glycolic Acid, Potassium Hydroxide, Salix Alba (Willow) Bark Extract",0,0,0,1,0
Night Cream,Bulldog,Daily Night Recovery Balm,267,2.7,"Water , Snail Secretion Filtrate , Phenyl Trimethicone , Dimethicone , Butylene Glycol , Butylene Glycol Dicaprylate/Dicaprate , Orbignya Oleifera Seed Oil",1,1,1,1,0
Eye Cream,Caudalie,Daily Anti-Aging Eye Cream,65,0.3,"Water, Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal*",0,1,0,1,1
Cleanser,Medik8,Radiance Purifying Gel,19,4.1,"Water , Snail Secretion Filtrate , Phenyl Trimethicone , Dimethicone , Butylene Glycol , Butylene Glycol Dicaprylate/Dicaprate , Orbignya Oleifera Seed Oil",1,1,1,1,1
Exfoliator,Neutrogena,Active Daily Microfoliant,45,2.6,Caprylic/Capric Triglyceride Dicaprylyl Carbonate Squalane Rosa Canina Fruit Oil Oenothera Biennis Oil,1,0,1,1,0
Cleanser,Estée Lauder,Ultra Micellar Water,171,3.9,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid.",0,1,0,0,1
Exfoliator,AHAVA,Daily Exfoliating Scrub,32,1.1,"Water, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Dimethicone, Propanediol, Glycerin",0,1,1,1,0
Sunscreen,CeraVe,Deep UV Defense Milk,152,3.2,Caprylic/Capric Triglyceride Dicaprylyl Carbonate Squalane Rosa Canina Fruit Oil Oenothera Biennis Oil,0,1,1,0,1
Serum,Dermalogica,Pure Radiance Glow Serum,47,3.5,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",1,0,0,1,0
Exfoliator,The Ordinary,Intense Enzyme Peel,232,1.7,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",1,0,1,1,0
Exfoliator,Medik8,Ultra Exfoliating Scrub,245,4.5,Caprylic/Capric Triglyceride Dicaprylyl Carbonate Squalane Rosa Canina Fruit Oil Oenothera Biennis Oil,1,0,1,0,1
Exfoliator,NUXE,Ultra Exfoliating Scrub,292,4.6,"Water, Lactic Acid, Propanediol, Jojoba Esters, Glycolic Acid, Potassium Hydroxide, Salix Alba (Willow) Bark Extract",1,0,0,0,0
Treatment,VICHY,Pure Repairing Serum,226,0.4,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid.",0,0,1,0,0
Cleanser,NUXE,Radiance Foaming Cleanser,263,1.7,"Water, Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal",0,1,1,1,0
Face Mask,L'Oréal,Radiance Peel-off Mask,279,4.8,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid.",0,1,1,1,1
Eye Cream,PIXI,Advanced Dark Circle Corrector,208,3.0,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",0,0,0,0,1
Exfoliator,AHAVA,Sensitive Enzyme Peel,199,3.4,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",0,0,1,0,0
Face Mask,Murad,Advanced Hydrating Overnight Mask,259,2.2,Caprylic/Capric Triglyceride Dicaprylyl Carbonate Squalane Rosa Canina Fruit Oil Oenothera Biennis Oil,0,1,0,1,0
Moisturizer,Natio,Mineral Hydrating Lotion,141,2.3,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid.",1,0,1,0,1
Night Cream,Weleda,Pro Restorative Night Cream,126,2.9,"Water, Glycerin, Caprylic/ Capric Triglyceride, Isopropyl Isostearate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Glycine Soja Meal",1,1,0,1,1
Sunscreen,Clinique,Mineral Mineral Sunscreen,286,1.9,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid.",1,0,1,0,0
Serum,Weleda,Mineral Vitamin C Booster,160,2.2,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid.",0,1,1,1,1
Night Cream,AHAVA,Radiance Night Recovery Balm,261,4.3,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid.",0,0,0,0,1
Moisturizer,VICHY,Radiance Water Cream,230,3.7,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",1,0,1,0,0
Face Mask,Elizabeth Arden,Sensitive Clay Mask,299,0.4,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate",0,1,1,1,0
Serum,The INKEY List,Radiance Vitamin C Booster,300,2.6,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil",1,0,0,0,1
Cleanser,Clinique,Ultra Micellar Water,10,0.3,"Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil",1,1,0,0,1
Treatment,COSRX,Radiance Repairing Serum,165,3.4,Caprylic/Capric Triglyceride Dicaprylyl Carbonate Squalane Rosa Canina Fruit Oil Oenothera Biennis Oil,0,1,1,0,1
Treatment,Murad,Pure Blemish Treatment,124,1.3,"Water, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract",1,1,0,1,1
Toner,Caudalie,Ultra Hydrating Essence,23,1.3,"Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil",0,0,1,1,0
Sunscreen,Pai Skincare,Intense Mineral Sunscreen,286,3.4,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid.",1,1,1,0,0
Serum,Avène,Daily Active Essence,88,4.1,"Water, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Dimethicone, Propanediol, Glycerin*",0,1,1,1,0
Treatment,Clinique,Ultra Blemish Treatment,27,1.1,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid.",1,0,1,0,0
Night Cream,Elizabeth Arden,Active Restorative Night Cream,299,1.8,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil",0,1,0,1,0
Serum,Caudalie,Pro Active Essence,42,3.7,"Galactomyces Ferment Filtrate (Pitera) , Butylene Glycol , Pentylene Glycol , Water , Sodium Benzoate , Methylparaben , Sorbic Acid.",0,1,0,0,1
Sunscreen,AHAVA,Pro Solar Fluid,248,3.4,"Water, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Dimethicone, Propanediol, Glycerin",1,0,0,1,1
Eye Cream,Bioderma,Radiance Anti-Aging Eye Cream,164,4.3,"Water, Lactic Acid, Propanediol, Jojoba Esters, Glycolic Acid, Potassium Hydroxide, Salix Alba (Willow) Bark Extract",1,0,1,1,1
Cleanser,Elemis,Advanced Purifying Gel,39,1.4,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil",1,1,0,1,1
Night Cream,PIXI,Sensitive Deep Sleep Cream,251,4.2,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,0,1,1,1,1
Exfoliator,Estée Lauder,Radiance AHA/BHA Solution,55,3.3,"Algae (Seaweed) Extract, Mineral Oil, Petrolatum, Glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract, Sesamum Indicum (Sesame) Seed Oil, Eucalyptus Globulus (Eucalyptus) Leaf Oil",1,0,1,0,0
